Latitude,Longitude,Area Type,Soil Type,Water Sources,Previous Crop,Land Acres,Cropping Type,Crop Category,Crop,Duration (Days),Investment (₹),Profit (₹)
23.82,84.49,Plateau,Laterite,Rainfed,Rice+Lentil,1.0,Mixed,Agroforestry,Timber+Paddy,304,67689,232526
23.28,84.16,Plateau,Entisol,Rainfed,Guava,3.3,Long-term,Fruits,Mango,175,49586,121756
24.45,84.01,Hilly,Inceptisol,Rainfed,Barley,3.8,Mixed,Agroforestry,Timber+Paddy,221,20605,80800
24.16,84.71,Plateau,Laterite,Rainfed,Sunflower,2.3,Short-term,Pulses,Green Gram,80,9885,31940
24.41,84.17,Hilly,Laterite,Irrigated,Sesame,3.7,Perennial,Cash Crops,Tobacco,314,29906,114046
24.34,84.22,Plain,Red Soil,Irrigated,Banana+Pea,2.0,Short-term,Pulses,Black Gram,86,13839,30475
23.9,85.14,Plateau,Laterite,Irrigated,Potato,4.1,Short-term,Oilseeds,Groundnut,112,15926,60742
24.38,85.92,Hilly,Laterite,Irrigated,Cabbage,2.0,Long-term,Cereals,Millets,127,13046,26104
23.13,85.01,Hilly,Inceptisol,Rainfed,Rice+Lentil,1.7,Mixed,Agroforestry,Mango+Lentil,357,37262,126814
23.29,83.69,Hilly,Laterite,Canal,Millets,4.5,Long-term,Cereals,Barley,126,16766,56243
23.07,83.69,Plateau,Entisol,Rainfed,Groundnut,3.0,Perennial,Fruits,Guava,199,17408,45510
23.49,85.88,Plateau,Entisol,Tube-well,Wheat,1.8,Mixed,Agroforestry,Maize+Mustard,326,50059,192215
23.58,84.24,Hilly,Laterite,Rainfed,Rice,4.7,Short-term,Oilseeds,Niger,114,19747,62331
23.41,83.73,Plain,Red Soil,Tube-well,Guava,3.6,Long-term,Cereals,Sorghum,127,15011,46437
24.24,85.0,Hilly,Laterite,Rainfed,Banana+Pea,1.5,Long-term,Oilseeds,Mustard,125,11686,35951
23.54,85.06,Hilly,Laterite,Rainfed,Coffee,3.3,Short-term,Oilseeds,Niger,112,16769,63371
23.42,85.12,Plain,Red Soil,Rainfed,Brinjal,4.4,Perennial,Cash Crops,Coffee,242,94174,291025
23.81,84.17,Plateau,Entisol,Irrigated,Rice,3.6,Short-term,Pulses,Pigeon Pea,112,6422,20402
23.21,83.54,Hilly,Inceptisol,Canal,Niger,1.6,Short-term,Pulses,Lentil,89,11734,37328
24.2,85.91,Plain,Alfisol,Rainfed,Maize,3.4,Long-term,Oilseeds,Groundnut,129,29310,116752
23.11,84.13,Plain,Red Soil,Tube-well,Wheat,3.3,Perennial,Cash Crops,Tobacco,228,52206,114176
24.48,85.19,Plain,Red Soil,Irrigated,Coffee,4.2,Perennial,Fruits,Jackfruit,192,47491,184561
24.16,85.27,Plateau,Entisol,Irrigated,Sunflower,1.3,Short-term,Vegetables,Tomato,72,16619,39724
23.3,85.03,Plain,Red Soil,Canal,Banana,3.6,Short-term,Oilseeds,Groundnut,114,13973,41393
23.01,84.28,Plain,Red Soil,Rainfed,Sesame,0.6,Long-term,Oilseeds,Sunflower,127,13521,39933
24.22,84.18,Hilly,Laterite,Rainfed,Sugarcane,3.6,Short-term,Vegetables,Cabbage,81,18687,70388
24.06,84.99,Plain,Alfisol,Tube-well,Soybean,4.8,Short-term,Pulses,Pea,116,7171,25865
24.09,85.67,Plain,Red Soil,Tube-well,Cabbage,1.3,Long-term,Cereals,Barley,123,10718,23496
24.16,85.87,Plain,Alfisol,Tube-well,Mango+Lentil,1.9,Mixed,Agroforestry,Rice+Lentil,226,53052,129369
23.11,83.76,Hilly,Laterite,Tube-well,Mango,3.1,Long-term,Fruits,Litchi,172,19509,70120
23.54,83.89,Hilly,Laterite,Rainfed,Coffee,3.8,Long-term,Vegetables,Cauliflower,121,17866,68833
23.17,85.86,Plain,Alfisol,Canal,Jackfruit,2.0,Short-term,Cereals,Wheat,91,18218,57600
24.29,85.34,Hilly,Laterite,Rainfed,Niger,3.5,Long-term,Cereals,Maize,124,7665,22461
23.93,85.71,Plateau,Laterite,Tube-well,Banana,4.5,Long-term,Vegetables,Cauliflower,140,27750,75387
23.5,84.01,Plain,Red Soil,Rainfed,Banana,3.8,Short-term,Oilseeds,Sesame,106,16137,36245
23.1,84.97,Plain,Alfisol,Irrigated,Pea,3.7,Mixed,Agroforestry,Banana+Pea,289,27951,81519
23.47,85.25,Plain,Red Soil,Irrigated,Tomato,2.2,Short-term,Oilseeds,Sesame,100,11055,28911
23.49,85.2,Hilly,Laterite,Rainfed,Onion,4.6,Short-term,Oilseeds,Sesame,93,17933,67845
24.09,84.52,Plateau,Laterite,Rainfed,Potato,1.7,Short-term,Pulses,Pigeon Pea,83,8347,18680
23.96,83.54,Plain,Red Soil,Canal,Mustard,1.4,Long-term,Cereals,Sorghum,151,12737,35120
24.33,84.96,Plateau,Laterite,Canal,Cabbage,2.1,Long-term,Oilseeds,Groundnut,125,26855,100762
23.71,84.13,Plain,Alfisol,Rainfed,Ladyfinger,3.4,Mixed,Agroforestry,Timber+Paddy,183,35644,125985
23.18,84.63,Hilly,Inceptisol,Irrigated,Pigeon Pea,4.4,Perennial,Fruits,Guava,274,31545,81294
24.07,85.89,Plateau,Laterite,Irrigated,Paddy,1.1,Perennial,Fruits,Papaya,361,28847,93833
24.14,84.5,Plain,Red Soil,Rainfed,Sunflower,4.2,Mixed,Agroforestry,Banana+Pea,292,45125,118686
23.84,85.6,Hilly,Inceptisol,Rainfed,Sesame,4.2,Perennial,Cash Crops,Coffee,299,24125,51856
24.16,83.97,Plain,Red Soil,Canal,Paddy,3.1,Perennial,Fruits,Litchi,208,20833,63663
23.74,85.18,Plateau,Laterite,Irrigated,Tomato,3.9,Short-term,Pulses,Black Gram,80,12206,34092
23.78,85.94,Plain,Red Soil,Irrigated,Tobacco,1.3,Short-term,Oilseeds,Soybean,96,23770,54175
23.64,83.75,Plateau,Laterite,Irrigated,Pigeon Pea,1.3,Perennial,Cash Crops,Coffee,221,32869,106535
23.04,83.52,Plain,Red Soil,Rainfed,Groundnut,4.4,Long-term,Oilseeds,Mustard,123,24763,94459
23.16,84.58,Plateau,Laterite,Rainfed,Mango,2.7,Short-term,Vegetables,Cabbage,108,18319,61279
23.05,83.73,Plain,Red Soil,Rainfed,Pigeon Pea,1.6,Mixed,Agroforestry,Mango+Lentil,259,29272,81130
23.95,85.37,Plateau,Laterite,Rainfed,Groundnut,3.6,Short-term,Pulses,Lentil,91,12404,24886
23.47,85.79,Plain,Alfisol,Irrigated,Brinjal,4.5,Perennial,Cash Crops,Jute,181,93375,310615
23.76,84.59,Plateau,Entisol,Tube-well,Black Gram,3.3,Perennial,Cash Crops,Cotton,275,99449,396470
24.36,84.15,Plain,Red Soil,Rainfed,Maize+Mustard,2.1,Short-term,Vegetables,Cauliflower,115,9718,30060
23.37,84.59,Plain,Red Soil,Rainfed,Maize,2.7,Perennial,Fruits,Papaya,344,44608,138865
23.62,85.31,Hilly,Laterite,Irrigated,Wheat,3.9,Short-term,Cereals,Wheat,105,12124,33604
24.13,83.52,Plain,Red Soil,Canal,Tobacco,0.8,Short-term,Vegetables,Brinjal,105,11527,23353
23.34,84.97,Plain,Alfisol,Irrigated,Cauliflower,1.5,Short-term,Oilseeds,Sunflower,105,12171,44585
23.12,85.03,Plateau,Entisol,Canal,Papaya,2.6,Short-term,Pulses,Green Gram,91,8695,26502
23.43,85.09,Plateau,Entisol,Irrigated,Cotton,3.2,Long-term,Vegetables,Brinjal,144,17941,55883
23.24,84.11,Plain,Alfisol,Irrigated,Tomato,2.0,Perennial,Fruits,Jackfruit,315,23339,62512
24.39,85.29,Plateau,Laterite,Rainfed,Sesame,1.8,Mixed,Agroforestry,Banana+Pea,350,44543,125016
24.21,83.73,Hilly,Laterite,Rainfed,Mustard,0.7,Short-term,Oilseeds,Soybean,107,10137,36688
23.95,84.0,Plain,Red Soil,Rainfed,Sesame,0.6,Perennial,Fruits,Jackfruit,205,41189,151483
24.31,85.69,Plateau,Entisol,Irrigated,Wheat,1.8,Perennial,Fruits,Mango,327,42049,105792
24.21,85.35,Hilly,Laterite,Tube-well,Rice,2.9,Perennial,Fruits,Mango,342,42835,153068
23.28,83.53,Plateau,Laterite,Canal,Tomato,3.0,Short-term,Oilseeds,Niger,108,19623,47565
24.34,84.12,Plain,Alfisol,Rainfed,Cotton,2.7,Perennial,Fruits,Banana,320,48283,182224
23.81,84.04,Hilly,Inceptisol,Rainfed,Mango+Lentil,2.3,Long-term,Fruits,Banana,174,24897,71085
24.21,84.18,Plain,Alfisol,Rainfed,Mango+Lentil,1.6,Long-term,Oilseeds,Mustard,128,29325,63157
24.34,84.12,Plain,Alfisol,Rainfed,Pigeon Pea,2.3,Short-term,Pulses,Gram,94,14148,43410
23.48,83.66,Plain,Alfisol,Irrigated,Mango,1.1,Long-term,Vegetables,Ladyfinger,122,26749,84009
23.17,84.65,Plateau,Laterite,Tube-well,Brinjal,1.0,Perennial,Cash Crops,Cotton,292,96593,350685
23.34,85.33,Plateau,Laterite,Tube-well,Tobacco,1.8,Mixed,Agroforestry,Mango+Lentil,194,26036,66132
23.64,85.02,Plateau,Entisol,Irrigated,Maize,5.0,Short-term,Pulses,Gram,101,12690,41476
24.23,85.18,Hilly,Laterite,Canal,Black Gram,2.0,Perennial,Cash Crops,Jute,285,48210,140508
24.29,83.7,Plain,Red Soil,Irrigated,Guava,4.7,Short-term,Vegetables,Brinjal,88,10327,23438
23.01,85.88,Plain,Red Soil,Rainfed,Litchi,2.3,Long-term,Cash Crops,Tea,159,67350,198265
23.77,85.6,Plain,Red Soil,Irrigated,Brinjal,2.5,Mixed,Agroforestry,Timber+Paddy,265,54164,190423
23.63,85.51,Plain,Alfisol,Irrigated,Rice,4.1,Perennial,Fruits,Papaya,313,15691,34914
23.33,85.56,Plateau,Laterite,Irrigated,Mango+Lentil,0.9,Perennial,Cash Crops,Jute,320,25456,54325
23.18,85.83,Hilly,Laterite,Rainfed,Tomato,1.3,Perennial,Cash Crops,Cotton,233,94868,227311
23.51,84.86,Plain,Red Soil,Rainfed,Millets,4.9,Perennial,Cash Crops,Jute,298,79150,284353
24.41,84.0,Plain,Alfisol,Rainfed,Pigeon Pea,2.8,Short-term,Cereals,Maize,94,16030,45198
23.48,85.04,Plain,Red Soil,Tube-well,Jute,0.7,Perennial,Cash Crops,Cotton,180,48812,186582
23.78,85.36,Hilly,Inceptisol,Rainfed,Sorghum,0.7,Perennial,Cash Crops,Coffee,316,59266,206800
24.05,85.34,Plateau,Entisol,Irrigated,Papaya,4.6,Perennial,Cash Crops,Cotton,313,36494,94559
23.55,84.8,Hilly,Inceptisol,Irrigated,Pea,4.4,Mixed,Agroforestry,Banana+Pea,305,63814,250769
24.46,83.67,Plateau,Entisol,Rainfed,Papaya,2.6,Mixed,Agroforestry,Timber+Paddy,209,58162,232616
24.44,84.43,Hilly,Laterite,Irrigated,Tobacco,1.2,Short-term,Vegetables,Ladyfinger,104,20134,65498
23.38,85.8,Plain,Alfisol,Canal,Rice,4.2,Long-term,Oilseeds,Niger,127,8284,22134
23.75,84.96,Plain,Alfisol,Rainfed,Maize+Mustard,2.0,Long-term,Cash Crops,Cotton,176,48443,100858
23.45,84.85,Plateau,Entisol,Tube-well,Gram,2.4,Long-term,Cereals,Millets,169,14320,32753
23.43,84.17,Plateau,Entisol,Rainfed,Tobacco,3.6,Perennial,Fruits,Papaya,238,34732,87137
23.06,84.42,Plain,Alfisol,Rainfed,Sunflower,2.1,Perennial,Cash Crops,Sugarcane,281,71940,280105
23.91,85.74,Hilly,Laterite,Canal,Niger,3.3,Short-term,Oilseeds,Mustard,93,11499,42295
23.75,85.17,Hilly,Inceptisol,Canal,Sugarcane,4.5,Long-term,Vegetables,Ladyfinger,149,18736,44443
23.08,85.47,Hilly,Laterite,Tube-well,Soybean,4.1,Short-term,Pulses,Pigeon Pea,85,14340,50846
23.42,84.64,Plateau,Laterite,Irrigated,Litchi,2.2,Mixed,Agroforestry,Timber+Paddy,280,27077,58329
24.36,85.08,Hilly,Inceptisol,Tube-well,Potato,1.8,Short-term,Oilseeds,Sunflower,108,21616,75485
23.36,84.12,Hilly,Laterite,Canal,Maize,1.8,Short-term,Pulses,Pea,86,7909,26226
23.22,85.26,Plain,Red Soil,Canal,Wheat,2.1,Perennial,Cash Crops,Cotton,292,47100,183822
23.73,84.57,Plain,Red Soil,Irrigated,Jute,2.7,Perennial,Fruits,Mango,237,42571,161695
24.48,84.61,Plain,Alfisol,Rainfed,Mango+Lentil,2.4,Perennial,Fruits,Jackfruit,207,24860,57806
23.36,85.12,Plain,Alfisol,Tube-well,Groundnut,1.1,Short-term,Cereals,Rice,92,12389,44562
24.01,85.84,Plateau,Entisol,Rainfed,Potato,1.2,Short-term,Vegetables,Ladyfinger,94,20142,63291
24.14,83.66,Plateau,Entisol,Irrigated,Black Gram,2.0,Mixed,Agroforestry,Timber+Paddy,268,19115,57254
23.36,85.56,Plain,Alfisol,Rainfed,Banana,3.0,Perennial,Cash Crops,Tea,239,59355,216666
24.09,84.23,Plateau,Entisol,Irrigated,Black Gram,3.2,Short-term,Oilseeds,Groundnut,117,12821,29464
23.55,84.61,Plain,Alfisol,Rainfed,Sugarcane,2.7,Short-term,Oilseeds,Sesame,105,17655,45747
23.95,83.55,Plain,Red Soil,Rainfed,Tomato,3.8,Perennial,Fruits,Litchi,262,35839,78817
23.95,84.25,Plain,Red Soil,Canal,Maize+Mustard,3.8,Long-term,Cash Crops,Jute,156,26704,55295
23.8,84.76,Plain,Alfisol,Rainfed,Potato,2.4,Short-term,Vegetables,Tomato,116,21555,67036
23.14,83.64,Plain,Red Soil,Irrigated,Rice+Lentil,1.1,Short-term,Oilseeds,Niger,111,24942,64568
24.25,84.73,Hilly,Inceptisol,Rainfed,Mango+Lentil,2.9,Short-term,Cereals,Millets,91,19990,57434
23.48,85.82,Hilly,Inceptisol,Rainfed,Timber+Paddy,2.2,Short-term,Oilseeds,Groundnut,110,23756,51534
23.28,83.76,Plateau,Entisol,Rainfed,Tea,1.1,Long-term,Cereals,Maize,148,15761,38810
23.06,85.41,Plain,Red Soil,Irrigated,Cabbage,4.9,Long-term,Cereals,Millets,126,15621,50449
23.89,84.52,Plain,Alfisol,Rainfed,Ladyfinger,2.2,Long-term,Cereals,Paddy,123,9422,36642
24.02,85.14,Plain,Alfisol,Tube-well,Paddy,3.3,Long-term,Cereals,Millets,144,8846,32173
23.02,84.15,Hilly,Inceptisol,Rainfed,Paddy,2.7,Perennial,Fruits,Papaya,227,40221,88490
23.77,83.9,Plain,Alfisol,Rainfed,Gram,1.1,Short-term,Oilseeds,Mustard,116,9945,36681
23.34,83.9,Plateau,Laterite,Rainfed,Ladyfinger,0.7,Perennial,Fruits,Banana,251,49899,190015
23.97,83.68,Hilly,Inceptisol,Rainfed,Cauliflower,3.3,Long-term,Oilseeds,Soybean,121,19991,52087
23.26,83.96,Hilly,Laterite,Irrigated,Cauliflower,1.6,Perennial,Cash Crops,Tea,344,23868,92030
24.04,85.16,Hilly,Laterite,Canal,Maize+Mustard,1.6,Long-term,Cereals,Barley,147,11228,40278
23.58,85.7,Plain,Alfisol,Irrigated,Black Gram,4.8,Long-term,Cereals,Barley,136,7380,19320
24.41,85.54,Plain,Alfisol,Rainfed,Gram,2.6,Long-term,Cereals,Rice,129,15479,45153
23.21,85.21,Plain,Red Soil,Rainfed,Lentil,0.6,Perennial,Cash Crops,Tobacco,220,43184,121543
23.51,83.78,Hilly,Laterite,Rainfed,Maize,2.0,Short-term,Pulses,Gram,95,8293,23094
23.17,84.22,Plain,Red Soil,Tube-well,Potato,3.1,Long-term,Cash Crops,Coffee,164,56087,120847
24.39,84.27,Plain,Red Soil,Rainfed,Litchi,2.0,Short-term,Vegetables,Cabbage,71,26505,105297
24.32,84.12,Plateau,Entisol,Irrigated,Cauliflower,0.6,Perennial,Fruits,Papaya,217,26622,54664
23.39,84.79,Plain,Red Soil,Rainfed,Sorghum,2.5,Short-term,Cereals,Barley,112,12520,36225
23.99,84.84,Plateau,Laterite,Rainfed,Tomato,1.0,Long-term,Vegetables,Ladyfinger,147,28459,95098
24.23,84.39,Plateau,Laterite,Rainfed,Groundnut,3.3,Perennial,Cash Crops,Coffee,300,77505,272193
23.83,84.38,Plain,Red Soil,Rainfed,Pea,3.3,Mixed,Agroforestry,Banana+Pea,188,44681,97685
23.79,85.57,Plain,Alfisol,Irrigated,Banana+Pea,0.7,Short-term,Pulses,Pigeon Pea,106,16680,58607
23.36,85.47,Plain,Alfisol,Rainfed,Ladyfinger,1.8,Long-term,Cereals,Sorghum,126,19298,70303
23.14,84.27,Hilly,Inceptisol,Irrigated,Papaya,2.4,Long-term,Oilseeds,Sunflower,125,23920,91103
24.35,85.78,Hilly,Laterite,Rainfed,Barley,3.0,Short-term,Oilseeds,Groundnut,97,27179,96519
24.35,85.88,Plateau,Laterite,Tube-well,Pigeon Pea,1.8,Short-term,Pulses,Gram,116,11900,25960
23.95,84.32,Plateau,Entisol,Rainfed,Papaya,1.8,Perennial,Fruits,Jackfruit,235,16221,57736
23.51,84.39,Hilly,Inceptisol,Canal,Soybean,4.9,Mixed,Agroforestry,Timber+Paddy,325,38360,84975
23.52,84.76,Plain,Red Soil,Canal,Millets,0.7,Short-term,Vegetables,Onion,110,23401,47174
24.09,85.85,Plain,Alfisol,Tube-well,Soybean,5.0,Short-term,Vegetables,Potato,105,9990,29587
24.35,85.69,Plateau,Laterite,Rainfed,Banana+Pea,0.7,Short-term,Cereals,Paddy,97,15960,32635
24.33,83.76,Plain,Red Soil,Irrigated,Tomato,1.8,Perennial,Cash Crops,Tea,276,93528,344945
24.17,84.48,Plain,Red Soil,Rainfed,Cotton,2.7,Short-term,Vegetables,Cabbage,115,12742,38853
23.96,84.88,Plateau,Laterite,Rainfed,Wheat,1.1,Perennial,Fruits,Litchi,249,20288,65954
23.13,84.76,Hilly,Laterite,Rainfed,Groundnut,1.1,Perennial,Cash Crops,Sugarcane,221,89058,191806
23.24,83.98,Plateau,Laterite,Rainfed,Niger,1.7,Short-term,Pulses,Lentil,101,7563,29685
24.35,85.65,Hilly,Inceptisol,Tube-well,Cotton,4.9,Perennial,Fruits,Litchi,195,10202,21345
23.91,85.19,Plain,Alfisol,Rainfed,Mustard,2.2,Perennial,Fruits,Papaya,338,19537,40716
23.01,85.59,Plateau,Entisol,Irrigated,Cauliflower,3.0,Long-term,Cash Crops,Coffee,158,69683,233722
23.15,85.65,Plain,Red Soil,Irrigated,Banana,3.7,Mixed,Agroforestry,Rice+Lentil,191,60531,139063
24.0,85.37,Plain,Alfisol,Irrigated,Jackfruit,3.8,Short-term,Oilseeds,Sesame,103,12015,31159
23.01,84.6,Hilly,Laterite,Irrigated,Coffee,3.6,Short-term,Oilseeds,Mustard,106,28533,77520
23.24,85.03,Plain,Red Soil,Rainfed,Pea,2.0,Short-term,Pulses,Pigeon Pea,114,13535,52838
23.82,83.9,Hilly,Laterite,Irrigated,Lentil,1.0,Long-term,Fruits,Mango,164,35278,85418
24.04,85.18,Plain,Red Soil,Rainfed,Cauliflower,1.8,Mixed,Agroforestry,Mango+Lentil,335,75937,154696
23.98,83.95,Hilly,Inceptisol,Tube-well,Tea,1.4,Perennial,Fruits,Banana,274,23052,64142
23.34,85.23,Plain,Alfisol,Irrigated,Papaya,1.1,Long-term,Vegetables,Tomato,141,21269,45579
24.07,84.07,Plateau,Entisol,Tube-well,Papaya,0.6,Short-term,Vegetables,Onion,105,14967,59804
23.36,83.79,Plateau,Laterite,Rainfed,Brinjal,4.7,Mixed,Agroforestry,Timber+Paddy,347,30674,81742
23.49,83.91,Plain,Alfisol,Rainfed,Mango,4.6,Long-term,Vegetables,Cabbage,135,28232,75029
24.12,83.5,Plain,Alfisol,Rainfed,Litchi,0.7,Mixed,Agroforestry,Maize+Mustard,244,61978,206897
23.97,85.3,Plain,Alfisol,Rainfed,Banana+Pea,1.3,Short-term,Pulses,Black Gram,102,5288,18392
24.27,85.33,Plain,Red Soil,Rainfed,Paddy,1.1,Perennial,Fruits,Litchi,241,11074,27082
23.99,84.79,Plateau,Entisol,Irrigated,Sorghum,1.8,Short-term,Pulses,Lentil,105,9274,35114
23.85,83.9,Plateau,Laterite,Rainfed,Mustard,1.4,Long-term,Vegetables,Potato,134,10508,33034
23.14,83.71,Plain,Alfisol,Irrigated,Timber+Paddy,4.8,Short-term,Pulses,Black Gram,88,18348,50648
23.55,83.55,Plain,Red Soil,Canal,Timber+Paddy,0.9,Short-term,Pulses,Pea,107,7403,28788
23.4,83.91,Plain,Alfisol,Irrigated,Pea,1.5,Long-term,Cereals,Barley,178,6287,16575
23.37,85.73,Hilly,Inceptisol,Rainfed,Cotton,0.9,Mixed,Agroforestry,Rice+Lentil,275,73809,228124
24.46,84.1,Plain,Alfisol,Rainfed,Ladyfinger,4.9,Short-term,Oilseeds,Mustard,92,20657,59157
23.59,84.39,Plateau,Laterite,Rainfed,Brinjal,4.6,Short-term,Vegetables,Cabbage,103,23844,89868
24.34,83.76,Plateau,Entisol,Rainfed,Lentil,3.7,Long-term,Fruits,Guava,157,18911,71695
23.95,84.06,Plain,Alfisol,Irrigated,Coffee,2.4,Long-term,Cereals,Wheat,137,15112,41495
24.19,84.8,Hilly,Laterite,Rainfed,Gram,1.4,Long-term,Vegetables,Cauliflower,147,15068,36693
23.75,85.02,Plateau,Laterite,Canal,Mustard,1.5,Short-term,Oilseeds,Sunflower,100,26254,88897
23.87,84.11,Hilly,Laterite,Irrigated,Paddy,2.5,Short-term,Pulses,Gram,97,16565,57830
23.74,83.64,Plain,Red Soil,Irrigated,Paddy,4.0,Mixed,Agroforestry,Maize+Mustard,284,28761,100313
23.29,84.48,Plain,Alfisol,Rainfed,Lentil,1.7,Perennial,Cash Crops,Sugarcane,201,61949,126744
24.08,84.09,Plateau,Entisol,Rainfed,Maize,1.9,Short-term,Pulses,Gram,95,15645,58909
23.42,84.05,Hilly,Laterite,Irrigated,Mustard,3.2,Long-term,Fruits,Papaya,166,16780,36891
